,pval,log2fc,pre_mean,on_mean,qval
S1PR1,0.00564208034525426,-0.8109232,55.85618,97.99037,0.15897150186853345
SAMSN1,0.024481773134584505,-0.3367883,1847.6237,2333.4414,0.29562836037064805
SDC1,0.04685693562491249,1.9694033,55.28189,14.116709,0.40428410350488886
SESN1,0.013126420836809143,-1.152612,190.96237,424.53998,0.23535947652210543
SFMBT2,0.03415810537925094,-0.661174,199.689,315.78198,0.3500623958428519
SGK1,0.014517992212110403,-0.47631842,368.56134,512.73846,0.25085592747528174
SGMS2,0.012782204068101514,-0.9544156,18.708523,36.253273,0.23451754185435308
SH2B3,0.03004907782409472,1.0575061,60.863228,29.24246,0.3323354518227455
SLA,6.27366295216472e-05,-0.7107706,1925.4792,3151.3896,0.020261401433797583
SLC26A2,0.03317537378579607,0.6557981,132.01898,83.795654,0.3489736240191231
SOCS3,0.007712516872124493,1.3793124,746.6278,287.0052,0.1888245030674396
SOX4,0.03273784316750175,0.60747117,390.432,256.25854,0.3474597458949411
SRGN,0.010044290726167162,-0.15419605,6587.845,7330.963,0.2122562801617218
SYTL3,0.0004713201607488673,-0.7462643,574.89465,964.3534,0.051363891780686795
TACC2,0.049808081692010966,3.0750794,25.171026,2.986825,0.4091467718925287
TAGAP,0.0006530438364912609,-0.9240779,713.05774,1353.0065,0.057245040587224044
TAGLN,0.03521843576335893,1.184965,202.5516,89.089325,0.3559030647984942
TBC1D4,0.022833581229109588,-0.33381394,725.4204,914.277,0.2859377691210752
TCF7,0.020561815114568203,0.5499612,681.35114,465.38904,0.2780882877137018
TFAP2A,0.03672522391291176,3.4235752,61.907227,5.769558,0.35917688798353087
TGFB3,0.02741600440097592,-2.911663,1.6458471,12.384754,0.3104682344279972
TGIF1,0.0018699506984899918,-0.85618865,726.7897,1315.6707,0.09220367175663177
TIFAB,0.022413718309063926,-3.019552,0.6045659,4.90252,0.28567637454758527
TNF,2.9279366775976847e-05,0.9427781,1091.916,568.0476,0.017324511019253367
TNFAIP3,0.0001055574215667931,-0.5532393,2161.3882,3171.5706,0.027759111460297747
TNFRSF10D,0.0041890123114635735,-1.6772875,19.393612,62.025826,0.1358151049387197
TNFRSF25,0.009344270655637523,0.3368676,1364.517,1080.3679,0.20864060859493985
TNFSF10,0.03781664340378068,0.44249684,1141.7216,840.1472,0.3668195290105636
TNFSF14,0.002020332210324578,1.882588,380.85208,103.28586,0.09316733987008692
TNS3,0.0012598287159654984,-0.5515006,311.61212,456.70166,0.07846702797161309
TP53INP1,0.04980660782010648,-0.79974896,234.9183,408.94534,0.4091467718925287
TPM1,0.0347734458506358,0.66283566,346.6001,218.92496,0.3547472528127606
TRAV8-2,0.012504054497474281,0.584767,413.93304,275.99277,0.23445537952546508
TRBV10-2,0.04222141656067654,-2.8913064,12.110183,89.850525,0.3904065469095443
TRBV30,0.0176511886164677,-0.55220836,93.156075,136.59741,0.25948208361168523
TRBV4-1,0.009934783598326545,-1.2095556,54.38127,125.7656,0.2122562801617218
TRBV7-2,0.03416631525117658,0.8480855,1070.2421,594.5424,0.3500623958428519
TRGV4,0.01565565828658691,-3.237152,1.0743918,10.130773,0.25341270625118106
TRGV5,0.0433986755288607,0.4883571,126.97081,90.509415,0.39354578486137126
TSC22D1,0.02119589944430958,0.9592799,164.17569,84.43778,0.2802580632350471
TSC22D3,0.0016637736895303947,-0.7834304,2922.1997,5029.7446,0.08378295836254869
TSPAN9,0.04694545592361481,1.4549792,18.940071,6.9085865,0.40428410350488886
TSPYL2,0.003077258114297024,-0.8967794,465.428,866.58276,0.11204948526091986
TTC21B,0.027296972120610368,0.26361564,91.87392,76.530754,0.3104682344279972
TUBB4B,0.04247412998285267,0.257531,1346.0957,1126.0337,0.3904065469095443
TXNIP,6.848574292413472e-05,-1.3826666,1582.8904,4127.385,0.020261401433797583
UBN2,0.03908852844680953,-0.8572281,35.260986,63.87719,0.3730413181760405
ULK1,0.0037238875416151975,-0.66932696,49.52433,78.76007,0.12773407381617527
VAMP1,0.009118384743449257,0.5837482,195.67578,130.56036,0.20714246346845244
VWF,0.022503426488789807,2.9644115,30.551142,3.914269,0.28567637454758527
WDR97,0.0013592975171474936,-3.1606455,1.5421584,13.790439,0.07880607797107113
XBP1,0.01659589919139969,0.50263613,1145.9834,808.85333,0.25341270625118106
XKR6,0.030622857274160982,-1.095318,12.606302,26.934647,0.33399908209210305
ZBTB32,0.010682419886368338,-1.0744103,76.25492,160.58228,0.2160941846335144
ZBTB41,0.02343103818942976,0.5775647,79.89809,53.539223,0.28674319215769917
ZFP36,0.00034568636126696697,-0.79117996,2317.523,4010.4485,0.051363891780686795
ZFP36L1,2.3579181834138047e-06,0.93370444,5045.5977,2641.4329,0.005580691667767459
ZMYM4-AS1,0.03297265522462221,-3.5521595,0.980761,11.504553,0.3483896143507942
ZNF407,0.0280680375946795,-0.65220606,68.05492,106.953026,0.3148392659451399
ZNF561,0.0454114004295799,0.5320471,176.56561,122.10796,0.4000411382369668
AC005224.4,0.0013132874996542644,-2.9581919,7.0439734,54.742195,0.07880607797107113
AL603756.1,0.004636709131207782,-3.0994847,5.2540536,45.033154,0.14069366628759492
CCR3,0.026581363082522357,-0.9749615,3.4571345,6.795305,0.3068899620467649
